,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
91252,2022,IR,338155,DOUXVIN,930 MCLAUGHLIN AVE,SAN JOSE,95122,Total,JR5,Roberta Lafrance,480,487882
91253,2022,IR,338245,P.W. MART,12906 POMERADO RD.,SAN DIEGO,92064,Total,BR3,Jeffrey Bowler,1704,543946
91254,2022,IR,338333,NORTH COUNTY WINE COMPANY,1099 SAN MARCOS BLVD,SAN MARCOS,92078,Total,BR1,Kevin Shelton,35248.06,500211
91255,2022,IR,338345,SAND PIPER LIQUOR,2262 ORTEGA HILL RD,SUMMERLAND,93067,Total,BP2,Joey Forner,4457.58,570168
91256,2022,IR,338348,MISSION GROCERTERIA,2950 23RD ST,SAN FRANCISCO,94110,Total,JR5,Roberta Lafrance,1113.2,509348
91257,2022,IR,338370,SANTEE COURT MARKET,716 S LOS ANGELES ST #A,LOS ANGELES,90014,Total,BPB,Jason Tragni,10474.46,508813
91258,2022,IR,338388,GARDENA LIQUOR MART,18502 S NORMANDIE AVE,LOS ANGELES,90248,Total,BQ3,Dan Cote,3000.88,500812
91259,2022,IR,338389,YORK SQUARE LIQ,6312 YORK BLVD,LOS ANGELES,90042,Total,BPC,Margaret Williamson,46611.76,510097
91260,2022,IR,338435,99 RANCH MARKET #5801 (168 Sup,1421 E. VALLEY BLVD,ALHAMBRA,91801,Total,BQA,Derrek Wilkinson,333,572010
91261,2022,IR,338461,CALI MART,1000 E VALLEY BLVD,ALHAMBRA,91801,Total,BPC,Margaret Williamson,13393,488141
91262,2022,IR,338475,DIMENSION LIQUOR,"20761 LAKE FOREST DR, ST",LAKE FOREST,92630,Total,BQ8,Brian Reilly,34828.91,600615
91263,2022,IR,338550,WHOLE FOODS COD #10370,390 CODDINGTOWN CTR,SANTA ROSA,95401,Total,JR2,Brenda Anderson,100280.92,489126
91264,2022,IR,338554,TIPSY FOX LIQUOR *,25920 ROLLING HILLS RD.,TORRANCE,90505,Total,BQ3,Dan Cote,10074.47,484842
91265,2022,IR,338557,"TASTES OF THE VALLEYS, PISMO B",911 A PRICE ST,PISMO BEACH,93449,Total,BP3,House-Bp3,3186.8,485346
91266,2022,IR,338562,STOP N BUY,459 W TEFFT ST.,NIPOMO,93444,Total,BP3,House-Bp3,3130.45,540098
91267,2022,IR,338623,CHEESE CAVE,325 YALE AVE,CLAREMONT,91711,Total,BR4,Chandra Pulicari,362,487815
91268,2022,IR,338633,MISSION WINE & SPIRITS # 3 -SH,13654 BURBANK BLVD,SHERMAN OAKS,91401,Total,BP4,Michael Smith,152937.47,488014
91269,2022,IR,338750,WHOLE FOODS HTB #10399,7881 EDINGER AVE STE A15,HUNTINGTON BEACH,92647,Total,BQ9,Rick Lent,52160.78,501025
91270,2022,IR,338783,VINFOLIO INC,"500 DEVLIN ROAD, SUITE 1",NAPA,94558,Total,706,Karin Sandberg,25023,623686
91271,2022,IR,338817,WHOLE FOODS BLL #10320,1146 BLOSSOM HILL RD,SAN JOSE,95118,Total,JT3,Darik Storch,128389.83,484163
91272,2022,IR,338820,HANDIEST FOOD MART,14711 PRINCETON AVE #6,MOORPARK,93021,Total,BP1,Daniel Bloomgren,4116.64,476420
91273,2022,IR,338867,KNOLLS PLAZA MARKET,1415 KUEHNER DR.,SIMI VALLEY,93063,Total,BP1,Daniel Bloomgren,6255.61,572893
91274,2022,IR,338915,PLEASURE POINT WINE & SPIRITS,3750 PORTOLA DR,SANTA CRUZ,95062,Total,JT5,Jessee Warren,38034.23,505480
91275,2022,IR,338931,ROYAL LIQUOR OF VISTA,890 N SANTA FE AVE,VISTA,92083,Total,BR3,Jeffrey Bowler,1284.65,572413
91276,2022,IR,338939,SAMS SATICOY LIQUOR,1500 LOS ANGELES AVE.,VENTURA,93004,Total,BP1,Daniel Bloomgren,12550.56,559950
91277,2022,IR,339036,FRESCO COMMUNITY MARKET,5914 MONTEREY RD,LOS ANGELES,90042,Total,BPC,Margaret Williamson,85940.68,580648
91278,2022,IR,339125,ANDYS LOCAL MARKET (CATER),75 LOCH LOMOND DR,SAN RAFAEL,94901,Total,JR3,Bryan Doyle,66216.04,579628
91279,2022,IR,339144,JONES LIQUORE,2435 E BROADWAY,LONG BEACH,90803,Total,BQ3,Dan Cote,9408.48,626999
91280,2022,IR,339270,7 DAYS LIQUOR,19490 BEACH BLVD,HUNTINGTON BEACH,92648,Total,BQ9,Rick Lent,747.31,575140
