,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
95570,2022,OP,324612,ANTONELLO RISTORANTE & 308351,3800 S. PLAZA DR,SANTA ANA,92704,Total,336,Matt Olson,14566.12,121700
95571,2022,OP,324622,APPLEBEE'S,1021 N MILLIKEN,ONTARIO,91762,Total,SNA,South Natl Accounts,1411.32,467136
95572,2022,OP,324626,APPLEBEE'S GRILL,5301 OLD REDWOOD HWY,PETALUMA,94952,Total,NNA,North Natl Accounts,720,421011
95573,2022,OP,324632,APPLEBEE'S,501 ROHNERT PARK EXPWY,ROHNERT PARK,94928,Total,NNA,North Natl Accounts,444,425107
95574,2022,OP,324643,APPLEBEES NEIGHBORHOOD,2250 SANTA ROSA AVE,SANTA ROSA,95407,Total,NNA,North Natl Accounts,1005,421002
95575,2022,OP,324654,"POUR HOUSE, THE",10075 JIBBOM ST,TRUCKEE,96161,Total,37E,Audra Zapata,1424.17,421278
95576,2022,OP,324694,ARUFFO'S,126 N YALE AVE,CLAREMONT,91711,Total,35U,Aaron Rundlett,28110.44,457601
95577,2022,OP,324698,ASILOMAR CONFERENCE CNTR +,800 ASILOMAR BLVD,PACIFIC GROVE,93950,Total,388,Aaron Hoops,4368,514402
95578,2022,OP,324704,TOWN,716 LAUREL ST,SAN CARLOS,94070,Total,JK1,Tom Bollenbeck,70409,304758
95579,2022,OP,324713,AUBERGE DU SOLEIL,180 RUTHERFORD HILL RD,RUTHERFORD,94573,Total,37G,Thomas Bennett,8667.2,267090
95580,2022,OP,324717,AULD DUBLINER,"1850 VILLAGE S RD, #51",OLYMPIC VALLEY,96146,Total,37E,Audra Zapata,1738.2,421442
95581,2022,OP,324719,AUSTRIA HOF (DE),924 CANYON BLVD,MAMMOTH LAKES,93546,Total,34D,Lauren Jenks,31925.9,22704
95582,2022,OP,324729,AVILA BAY CLUB,6699 BAY LAUREL PL,AVILA BEACH,93424,Total,342,Nolan Wagoner,1206,387290
95583,2022,OP,324732,WOODSTONE MARKET PLACE,6675 BAY LAUREL DR,AVILA BEACH,93424,Total,342,Nolan Wagoner,5066.17,450303
95584,2022,OP,324749,AMARENA,2162-2164 LARKIN STREET,SAN FRANCISCO,94109,Total,385,Gloria Chow,11676.43,394502
95585,2022,OP,324764,TRADER VIC,9 ANCHOR DR,EMERYVILLE,94608,Total,704,Majid Dayyat,7660.17,41474
95586,2022,OP,324795,BELLA BRU COFFE CO.,5038 FAIR OAKS BLVD,CARMICHAEL,95608,Total,JG2,Curtis Shiner,1002,298686
95587,2022,OP,324796,TASTE OF THAI +,527 UNIVERSITY AVE,SAN DIEGO,92103,Total,BMC,Scott Tetzner,3068.4,339321
95588,2022,OP,324832,BEECH CAFE/238/270,863 N SWARTHMORE,PACIFIC PALISADE,90272,Total,332,Ron Smith,13137.76,412591
95589,2022,OP,324846,UNDERWOOD BAR & BISTRO,9113 GRATON RD,GRATON,95444,Total,JP3,Seanpatrick Mcneely,5894.65,368211
95590,2022,OP,324850,UNIVERSITY CLB A S TOWER,750 B STREET #3400,SAN DIEGO,92101,Total,359,Tyler Williams,16459.69,452270
95591,2022,OP,324859,US CLUB DEL MONTE,NAV POSTGRDT SCHL BLD 22,MONTEREY,93943,Total,383,Michael Espiritu,40217.2,
95592,2022,OP,324899,VALLEY HI COUNTRY CLUB,9595 FRANKLIN BLVD,ELK GROVE,95758,Total,JG3,Mathew Thiel,14397.79,18047
95593,2022,OP,324899,VALLEY HI COUNTRY CLUB + 31709,9595 FRANKLIN BLVD,ELK GROVE,95758,Total,JG3,Mathew Thiel,8923.07,18047
95594,2022,OP,324901,VALLEY CLUB,1901 E VALLEY RD,SANTA BARBARA,93108,Total,340,House-340,3024,6933
95595,2022,OP,324912,BERTRAND AT MR A'S,2550 5TH AVE #1200,SAN DIEGO,92103,Total,30T,Jonathon Tapp $,11382.8,363180
95596,2022,OP,324922,VIA VAI PIZZERIA,1483 E VALLEY RD #20,SANTA BARBARA,93108,Total,363,Alec Ropes,459,297102
95597,2022,OP,324954,VIVA MADRID + +,225 YALE AVE #B,CLAREMONT,91711,Total,35U,Aaron Rundlett,7256.2,362761
95598,2022,OP,325012,BLUEWATER BISTRO,21301 HERON DR,BODEGA BAY,94923,Total,JP3,Seanpatrick Mcneely,291.45,238653
95599,2022,OP,325014,BEACH HOUSE INN,4100 N CABRILLO HWY,HALF MOON BAY,94019,Total,JK3,Brett Begley,3599.19,355441
95600,2022,OP,325026,BIG SUR CENTER & DELI,HIGHWAY #1,BIG SUR,93920,Total,388,Aaron Hoops,82075.17,522491
95601,2022,OP,325037,BIRNAM WOOD GOLF CLUB,1941 E VALLY RD,SANTA BARBARA,93108,Total,340,House-340,57925.92,36497
95602,2022,OP,325043,BISHOP COUNTRY CLUB (DE),395 W/S 1.5M S OF,BISHOP,93514,Total,34D,Lauren Jenks,376.72,239107
95603,2022,OP,325049,BIX RESTAURANT,56 GOLD ST,SAN FRANCISCO,94133,Total,385,Gloria Chow,24993.76,217709
95604,2022,OP,325106,BOA STEAKHOUSE,101 SANTA MONICA BLVD,SANTA MONICA,90405,Total,BBA,Jackson Warfield,16363.28,404673
95605,2022,OP,325112,BOCCALI'S RESTAURANT,3277 OJAI SANTA PAULA RD,OJAI,93023,Total,363,Alec Ropes,1584,185785
95606,2022,OP,325114,BODEGA BAY LODGE,105 DORAN PARK RD,BODEGA BAY,94923,Total,JP3,Seanpatrick Mcneely,10221.8,371728
95607,2022,OP,325131,BONITA GOLF CLUB,5540 SWEETWATER RD,BONITA,91902,Total,36A,House-36A,7181.4,125685
95608,2022,OP,325158,BOSSA BRAZILIAN PICO/302793,10982 W PICO BLVD,LOS ANGELES,90064,Total,33A,Johanna Dejoria,21495.79,421244
95609,2022,OP,325165,BOSS SUSHI + +,270 LA CIENEGA BLVD,BEVERLY HILLS,90211,Total,BCA,House-Bca {},1740,423755
95610,2022,OP,325172,BOUCHON,6534 WASHINGTON STREET,YOUNTVILLE,94599,Total,37G,Thomas Bennett,9243.04,344318
95611,2022,OP,325184,BRAEMAR COUNTRY CLUB + +,4001 RESEDA BLVD,TARZANA,91356,Total,324,Paul Schneider,1482,452272
95612,2022,OP,325229,BROTHERS BISTRO & 364,835 S MAIN ST,FALLBROOK,92028,Total,320,Mariah Cajala,11937.41,406483
95613,2022,OP,325249,BUCKEYE ROADHOUSE,15 SHORELINE HWY,MILL VALLEY,94941,Total,39B,Brian Durham,16796.33,257332
95614,2022,OP,325380,CHILI'S GRILL & BAR #1047,30 SHORELINE DR WEST,LONG BEACH,90802,Total,SNA,South Natl Accounts,846,416967
95615,2022,OP,325383,CHILI'S GRILL & BAR #1077,15252 SUMMIT AVE,FONTANA,92336,Total,SNA,South Natl Accounts,1397.28,418889
95616,2022,OP,325385,CHILI'S GRILL & BAR #1084,3303 S DOGWOOD RD,EL CENTRO,92243,Total,SNA,South Natl Accounts,596.28,423326
95617,2022,OP,325387,CHILI'S GRILL & BAR #1093,2100 W FLORIDA AVE,HEMET,92545,Total,SNA,South Natl Accounts,1880.28,445479
95618,2022,OP,325389,CHILI'S GRILL & BAR #1094,3490 W CENTURY BLVD,INGLEWOOD,90303,Total,SNA,South Natl Accounts,1752,418711
95619,2022,OP,325391,CHILI'S GRILL & BAR #1167,41070 CALIFORNIA OAKS,MURRIETA,92562,Total,SNA,South Natl Accounts,2775,432184
95620,2022,OP,325435,CACHE CREEK CASINO RESRT,11445 HWY 16,BROOKS,95606,Total,JG5,Jay Johnstone {},27633.1,603426
95621,2022,OP,325457,CAFE RUSTICA,10 DELFINO PL,CARMEL VALLEY,93924,Total,388,Aaron Hoops,21872.9,482449
95622,2022,OP,325461,CAFE FIORE,1169 SKI RUN BLVD # 5,SOUTH LAKE TAHOE,96151,Total,37E,Audra Zapata,6703.92,306451
95623,2022,OP,325475,CALIFORNIA PIZZA KIT 156,2855 STEVENS CREEK BLVD,SANTA CLARA,95128,Total,NNA,North Natl Accounts,6628.39,420508
95624,2022,OP,325482,CALIF PIZZA KITCHEN,500 LAKEWOOD CENTER MALL,LAKEWOOD,90712,Total,SNA,South Natl Accounts,7702.27,420079
95625,2022,OP,325484,CALIF PIZZA KITCHEN,1100 DEL MONTE CENTER,MONTEREY,93940,Total,NNA,North Natl Accounts,11050.87,422920
95626,2022,OP,325486,CALIF PIZZA KITCHEN,3540 RIVERSIDE DR ST 308,RIVERSIDE,92506,Total,SNA,South Natl Accounts,17473.48,424688
95627,2022,OP,325534,CARMELS BISTRO GIOVANNI,SAN CARLOS E/S BTW 5TH-6,CARMEL,93921,Total,388,Aaron Hoops,11418.68,464675
95628,2022,OP,325567,CASANOVA RESTAURANT,5TH BET ST CARLOS & MISS,CARMEL,93921,Total,388,Aaron Hoops,31301.78,540325
95629,2022,OP,325593,CATALINA ISLAND YACHT CL,210 CRESENT AVE,AVALON,90704,Total,354,Brandon Colson,3732,34521
95630,2022,OP,325660,CESAR SHATTUCK,1515 SHATTUCK AVENUE,BERKELEY,94709,Total,JZZ,Inactive,7869.75,336566
95631,2022,OP,325677,CAFE SEVILLA,353 5TH AVE,SAN DIEGO,92101,Total,359,Tyler Williams,9936.4,519758
95632,2022,OP,325691,CHILI'S GRILL & BAR #0187,27407 BELLOGENTE,MISSION VIEJO,92691,Total,SNA,South Natl Accounts,2697,298363
95633,2022,OP,325695,CHILI'S GRILL & BAR #0786,8376 LA PALMA AVE,BUENA PARK,90620,Total,SNA,South Natl Accounts,1019.28,380716
95634,2022,OP,325698,CHILI'S GRILL & BAR #0898,3579 GRAND OAKS,CORONA,92881,Total,SNA,South Natl Accounts,2007,392954
95635,2022,OP,325719,WAHOO'S FISH TACOS #100,444 N HARBOR BLVD STE 10,FULLERTON,92832,Total,335,Hannah Nossaman,165,384536
95636,2022,OP,325720,WAHOO'S FISH TACOS #101,1862 PLACENTIA AVE,COSTA MESA,92627,Total,336,Matt Olson,791.76,339596
95637,2022,OP,325722,WAHOO'S FISH TACOS,3000 BRISTOL,COSTA MESA,92626,Total,336,Matt Olson,494.88,268919
95638,2022,OP,325725,WAHOO'S FISH TACOS #106,13791 NEWPORT AVE #4,TUSTIN,92780,Total,32V,Renee Dimitroff,681,323497
95639,2022,OP,325727,WAHOO'S FISH TACOS #107,641 CAMINO DE LOS MARES,SAN CLEMENTE,92673,Total,326,Rob Mcclaire,1079.4,335037
95640,2022,OP,325729,WAHOO'S FISH TACOS #108,2967 MICHELSON DR STE F,IRVINE,92612,Total,36T,David Mcphillips,351,339564
95641,2022,OP,325731,CHEESECAKE FACTORY,442 W.HILLCREST DR #T-17,THOUSAND OAKS,91360,Total,SNA,South Natl Accounts,12205.98,358870
95642,2022,OP,325732,WAHOO'S FISH TACOS #110,26741 ALISO CREEK RD #D,ALISO VIEJO,92656,Total,31C,Molly Lamanna {},821.76,352862
95643,2022,OP,325733,CHEESE SHOP/CARMEL,OCEAN & JUNIPERO COR OF,CARMEL,93921,Total,388,Aaron Hoops,14806.15,352825
95644,2022,OP,325734,WAHOO'S FISH TACOS #111,3556 TORRANCE BLVD STE E,TORRANCE,90503,Total,317,Nathan Baird,422.88,362225
95645,2022,OP,325736,CHEESECAKE FACTORY,364 N BEVERLY DR,BEVERLY HILLS,90210,Total,SNA,South Natl Accounts,5173.18,358904
95646,2022,OP,325737,WAHOO'S FISH TACOS #113,23042 EASTPARK DR,YORBA LINDA,92887,Total,335,Hannah Nossaman,165,369092
95647,2022,OP,325738,L'AUBERGE CARMEL,MONTE VERDE & SEVENTH ST,CARMEL,93921,Total,388,Aaron Hoops,8556.34,613094
95648,2022,OP,325743,WAHOO'S FISH TACOS #116,3333 BEAR ST STE 211,COSTA MESA,92626,Total,336,Matt Olson,674.64,381957
95649,2022,OP,325748,WAHOO'S FISH TACOS #121,27412 PORTOLA PKWY UT101,EL TORO,92610,Total,31K,Michelle Mcclelland,931.18,406796
95650,2022,OP,325750,WAHOO'S FISH TACOS #122,1006 N EL CAMINO REAL C,ENCINITAS,92024,Total,BG4,Matt Cooke,746.76,389774
95651,2022,OP,325752,CHEESECAKE FACTORY,4142 VIA MARINA,MARINA DEL REY,90292,Total,SNA,South Natl Accounts,9904.78,358913
95652,2022,OP,325753,WAHOO'S FISH TACOS #124,81 FORTUNE DR STE 151,IRVINE,92618,Total,31K,Michelle Mcclelland,1745.28,394136
95653,2022,OP,325754,CHEESECAKE FACTORY,605 N HARBOR DR,REDONDO BEACH,90277,Total,SNA,South Natl Accounts,12273.02,358922
95654,2022,OP,325755,WAHOO'S FISH TACOS #1630,120 MAIN ST,HUNTINGTON BEACH,92648,Total,311,Zakariah Lopopolo {},197.88,292801
95655,2022,OP,325757,CHEESECAKE FACTORY - SD,7067 FRIARS RD,SAN DIEGO,92108,Total,SNA,South Natl Accounts,10982,358862
95656,2022,OP,325758,WAHOO'S FISH TACOS #1635,1295 HAMNER AVE,NORCO,92860,Total,BHZ,Inactive-Bhz,299.88,409903
95657,2022,OP,325762,CHEESECAKE FACTORY,2 W COLORADO BLVD,PASADENA,91101,Total,SNA,South Natl Accounts,6712.85,358879
95658,2022,OP,325765,CHILI'S GRILL & BAR #0477,6950 MARKET PLACE DR,GOLETA,93117,Total,SNA,South Natl Accounts,1712.28,349189
95659,2022,OP,325772,CHILI'S GRILL & BAR #0495,26631 ALISO CREEK RD.,ALISO VIEJO,92656,Total,SNA,South Natl Accounts,3336,318600
