Customer Name,Address,City,State,Zip,Premise,TDLinx Code,Sold to,Licence No.,Channel / Trad Channel,Sub-Channel / Sub Trade Channel,IN SPECTRA,IN GALLO,IN WW
COSTCO WHOLESALE     1042,2300 MIDDLEFIELD RD,REDWOOD CITY,CA,94063,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      638,79795 HIGHWAY 111,LA QUINTA,CA,92253,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      470,5301 ALMADEN EXPY,SAN JOSE,CA,95118,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      124,1755 HACIENDA DR,VISTA,CA,92081,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1080,725 CENTER DR,SAN MARCOS,CA,92069,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1110,7562 CENTER AVE,HUNTINGTON BEACH,CA,92647,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4824,26468 CARL BOYER DR,SANTA CLARITA,CA,91350,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      661,3801 PELANDALE AVE,MODESTO,CA,95356,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1003,2299 BRONZE STAR DR,WOODLAND,CA,95776,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4822,40500 MURRIETA HOT SPRINGS RD,MURRIETA,CA,92563,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1091,2680 REYNOLDS RANCH PKWY,LODI,CA,95240,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1360,2270 CLOVIS AVE,CLOVIS,CA,93612,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      782,2955 N TEGNER RD,TURLOCK,CA,95380,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      144,450 10TH ST,SAN FRANCISCO,CA,94103,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      454,115 W TECHNOLOGY DR,IRVINE,CA,92618,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       48,6100 SEPULVEDA BLVD,VAN NUYS,CA,91411,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      130,2901 LOS FELIZ BLVD,LOS ANGELES,CA,90039,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      146,2800 INDEPENDENCE DR,LIVERMORE,CA,94551,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      482,4801 CENTRAL AVE,RICHMOND,CA,94804,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      688,3800 ROSEDALE HWY,BAKERSFIELD,CA,93308,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1275,1700 S BRADLEY RD,SANTA MARIA,CA,93454,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      147,1001 METRO CENTER BLVD,FOSTER CITY,CA,94404,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1015,520 N LONE HILL AVE,SAN DIMAS,CA,91773,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      748,5401 KATELLA AVE,CYPRESS,CA,90720,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6628,2601 SKYPARK DR,TORRANCE,CA,90505,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      420,2001 E VENTURA BLVD,OXNARD,CA,93036,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1244,2395 E LACEY BLVD,HANFORD,CA,93230,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      143,1000 N RENGSTORFF AVE,MOUNTAIN VIEW,CA,94043,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      411,17900 NEWHOPE ST,FOUNTAIN VALLEY,CA,92708,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      746,29315 CENTRAL AVE,LAKE ELSINORE,CA,92532,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1017,1405 W CAMERON AVE,VISALIA,CA,93277,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      447,18649 VIA PRINCESSA,SANTA CLARITA,CA,91387,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6240,1301 S LONE HILL AVE,GLENDORA,CA,91740,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6613,7480 CARSON BLVD,LONG BEACH,CA,90808,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      122,2655 EL CAMINO REAL,TUSTIN,CA,92782,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4819,5625 GOSFORD RD,BAKERSFIELD,CA,93313,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1202,2640 LOMITA BLVD,TORRANCE,CA,90505,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6615,17099 BROOKHURST ST,FOUNTAIN VALLEY,CA,92708,Off-Premise,,364559,,,,False,False,True
